length	MOB-PAE06474	MOB-PAE59649	CBS1-PAE01745	CBS1-PAE59645	CBS1-PAG52067	CBS2-PAE59606	CBS2-PAE59231	CBS2-PAE32756	CBS2-PAE32753	CBS2-PAE31188	CBS2-PAE21339	CBS2-PAD99555	CBS2-PAG56368
1500	4.597180829	1.811396965	5.291704804	2.478309726	1.396786682	3.401562683	3.401515517	4.17391639	4.129222493	4.120930659	4.141179375	4.142462042	3.402440147
1550	4.10282438	1.660964736	4.812031061	2.229548681	1.247640209	3.084601295	3.102808148	3.813015131	3.795103895	3.800701985	3.824660041	3.784208152	3.170761021
1600	3.607347723	1.442587525	4.577328479	2.028118614	1.131760661	2.878848235	2.889457786	3.553751655	3.495043685	3.482493732	3.493357105	3.550077988	2.909904306
1650	3.36085407	1.376396931	4.297277557	1.915558949	1.063279956	2.722474026	2.738970111	3.368543603	3.350189767	3.335539748	3.348002906	3.381367523	2.860064248
1700	3.363333847	1.359505132	4.358779792	1.927531965	1.061492621	2.839413408	2.863995699	3.451258605	3.443704897	3.408124914	3.435832527	3.467244015	3.072831269
1750	2.945601546	1.258211269	3.465904971	1.672066411	0.919183704	2.431014061	2.460430063	2.972608473	3.02675408	3.066658154	3.088109329	2.886631745	2.802682141
1800	2.48560772	1.098065221	2.956108241	1.383430183	0.749027878	1.925775207	1.933837022	2.388867418	2.375665071	2.391632683	2.404857393	2.345052233	2.097878966
1850	2.22063542	1.005807228	2.599097594	1.240885672	0.689882649	1.683082154	1.695083592	2.091640781	2.077191431	2.069154714	2.100814238	2.044108344	1.950266951
1900	1.773327711	0.854583197	2.076205694	1.049650262	0.58081528	1.361295854	1.361361638	1.692648072	1.681117242	1.704184787	1.720411499	1.633003126	1.64659793
1950	1.382585724	0.70349372	1.793683212	0.880487426	0.486351135	1.124333853	1.127759643	1.413766911	1.370440228	1.372749096	1.391617215	1.404305242	1.329671149
2000	1.269722365	0.652207653	1.662772481	0.849694236	0.461255924	1.099161936	1.115340553	1.356282283	1.344803888	1.342150783	1.35739492	1.325730797	1.345839362
2050	1.119394268	0.602194681	1.396144449	0.738323314	0.401255094	0.894985799	0.895101938	1.105314896	1.09194416	1.105627477	1.125700192	1.084077312	1.138323431
2100	0.984624617	0.548134716	1.219748827	0.656109871	0.352007283	0.769326272	0.780657448	0.978158086	0.941748787	0.947308631	0.96796372	0.951633678	0.983841459
2150	0.855944303	0.494540518	1.08094549	0.593334748	0.309441136	0.666590959	0.667722135	0.833457614	0.808384286	0.818388474	0.833301472	0.821181511	0.862698209
2200	0.824664646	0.47258739	0.997089977	0.55577048	0.289080734	0.613681684	0.618222827	0.761818319	0.748808551	0.747452791	0.757813878	0.739177316	0.819529401
2250	0.632754808	0.395818721	0.773557207	0.462487466	0.243429347	0.488528184	0.491047294	0.621607998	0.612112252	0.622415628	0.629349475	0.586619863	0.684050121
2300	0.536761591	0.344713786	0.660671109	0.394824233	0.202719419	0.396513589	0.402292532	0.514603415	0.488425833	0.490630579	0.501971706	0.49954849	0.552983275
2350	0.448408768	0.304947677	0.585554813	0.359342642	0.184701043	0.356537432	0.356730574	0.465425567	0.43908348	0.443774198	0.448619269	0.447947362	0.503388677
2400	0.402537683	0.278078125	0.533419924	0.324840575	0.168002323	0.325140202	0.330029108	0.429632647	0.399974509	0.407004133	0.415242135	0.421073618	0.464638149
2450	0.394485589	0.267676007	0.499514496	0.306381779	0.158637843	0.302521958	0.302391784	0.392834788	0.37714111	0.382498649	0.38288456	0.380569387	0.44618482
2500	0.350893218	0.246613011	0.437643574	0.274047979	0.138948144	0.260015663	0.262917119	0.347462877	0.326027086	0.331206815	0.339526482	0.334179264	0.390406969
2550	0.292776439	0.216545196	0.362800378	0.239983369	0.120364202	0.219098059	0.220870952	0.293420699	0.277570569	0.279954443	0.28830707	0.281361128	0.336735983
2600	0.25340639	0.195751309	0.316537151	0.210331372	0.103585722	0.181263691	0.184869922	0.255072668	0.236028855	0.237746607	0.244318475	0.247583631	0.282229264
2650	0.243975578	0.18464019	0.295767857	0.196389798	0.096244231	0.170896016	0.172568868	0.234695934	0.219766504	0.219894302	0.222679682	0.225489409	0.265199019
2700	0.196831094	0.161175909	0.245612947	0.177217756	0.085099666	0.148619046	0.148548509	0.210278063	0.192120507	0.200218884	0.200088406	0.193393595	0.241865713
2750	0.16944823	0.142747081	0.219327023	0.152463379	0.073143005	0.124576864	0.127546504	0.179435	0.16641806	0.167268676	0.168911373	0.171299373	0.203384022
2800	0.161913155	0.135672606	0.197028366	0.139035342	0.067095792	0.112455745	0.112657085	0.164328848	0.148172495	0.149810984	0.156140058	0.15690549	0.186719045
2850	0.150969583	0.12662121	0.185339664	0.130666594	0.060124094	0.104194555	0.103610456	0.153178306	0.133933022	0.138864412	0.142510167	0.144326055	0.172871013
2900	0.129053717	0.113315814	0.158138853	0.120053499	0.054569939	0.091355582	0.092228398	0.13648991	0.123369104	0.127183859	0.12934981	0.124555211	0.159584032
2950	0.10540488	0.098240505	0.133464221	0.102003631	0.047311832	0.07386822	0.075526281	0.11361152	0.101514091	0.107879377	0.109575736	0.108723047	0.130137605
3000	0.092134722	0.089235686	0.115576138	0.090363462	0.042254361	0.065112771	0.066521808	0.104310492	0.09138648	0.093381286	0.09485921	0.096044039	0.116622697
3000	0.092134722	0.089235686	0.115576138	0.090363462	0.042254361	0.065112771	0.066521808	0.104310492	0.09138648	0.093381286	0.09485921	0.096044039	0.116622697
